species	sexual_size_dimorphism
BALAENA_MYSTICETUS	1.121200
BALAENOPTERA_ACUTOROSTRATA	1.058000
BALAENOPTERA_EDENI	1.089600
BALAENOPTERA_MUSCULUS	1.149600
BALAENOPTERA_PHYSALUS	1.100000
DELPHINUS_CAPENSIS	0.874000
DELPHINUS_DELPHIS	0.956500
ESCHRICHTIUS_ROBUSTUS	1.053600
GLOBICEPHALA_MACRORHYNCHUS	0.763900
GLOBICEPHALA_MELAS	0.850700
GRAMPUS_GRISEUS	1.000000
INIA_GEOFFRENSIS	0.821400
LAGENORHYNCHUS_ACUTUS	0.892800
LAGENORHYNCHUS_OBLIQUIDENS	0.960000
LISSODELPHIS_BOREALIS	0.741900
MEGAPTERA_NOVAEANGLIAE	1.090000
MONODON_MONOCEROS	0.875000
ORCINUS_ORCA	0.894700
PHOCOENOIDES_DALLI	0.916700
PHYSETER_CATODON	0.655700
PONTOPORIA_BLAINVILLEI	1.085900
PSEUDORCA_CRASSIDENS	0.833300
STENELLA_ATTENUATA	0.923000
STENELLA_LONGIROSTRIS	0.851100
ZIPHIUS_CAVIROSTRIS	1.054500
