specimen1	bone1	side1	specimen2	bone2	side2	shape_difference
BMNH_1953.12.1.18	pelvic	left	BMNH_1953.12.1.18	pelvic	right	0.818675
BMNH_1953.12.1.18	pelvic	left	BMNH_1953.12.1.19	pelvic	left	1.647950
BMNH_1953.12.1.18	pelvic	left	CCSN_04-141	pelvic	left	2.171068
BMNH_1953.12.1.18	pelvic	left	CCSN_04-141	pelvic	right	1.366437
BMNH_1953.12.1.18	pelvic	left	LACM_19590	pelvic	left	1.554845
BMNH_1953.12.1.18	pelvic	left	LACM_19590	pelvic	right	1.765438
BMNH_1953.12.1.18	pelvic	left	LACM_27074	pelvic	left	1.874176
BMNH_1953.12.1.18	pelvic	left	LACM_27074	pelvic	right	1.915997
BMNH_1953.12.1.18	pelvic	left	LACM_31144	pelvic	left	1.724470
BMNH_1953.12.1.18	pelvic	left	LACM_31144	pelvic	right	1.909563
BMNH_1953.12.1.18	pelvic	left	LACM_47143	pelvic	left	3.626694
BMNH_1953.12.1.18	pelvic	left	LACM_47143	pelvic	right	3.385228
BMNH_1953.12.1.18	pelvic	left	LACM_54012	pelvic	left	2.046623
BMNH_1953.12.1.18	pelvic	left	LACM_54012	pelvic	right	1.979623
BMNH_1953.12.1.18	pelvic	left	LACM_54043	pelvic	left	2.488444
BMNH_1953.12.1.18	pelvic	left	LACM_54043	pelvic	right	2.428964
BMNH_1953.12.1.18	pelvic	left	LACM_54090	pelvic	left	1.882086
BMNH_1953.12.1.18	pelvic	left	LACM_54090	pelvic	right	1.676208
BMNH_1953.12.1.18	pelvic	left	LACM_54420	pelvic	left	2.542770
BMNH_1953.12.1.18	pelvic	left	LACM_54420	pelvic	right	1.929731
BMNH_1953.12.1.18	pelvic	left	LACM_54569	pelvic	left	2.102376
BMNH_1953.12.1.18	pelvic	left	LACM_54569	pelvic	right	2.178537
BMNH_1953.12.1.18	pelvic	left	LACM_72437	pelvic	left	1.582696
BMNH_1953.12.1.18	pelvic	left	LACM_72437	pelvic	right	1.552338
BMNH_1953.12.1.18	pelvic	left	LACM_72438	pelvic	left	2.274544
BMNH_1953.12.1.18	pelvic	left	LACM_72438	pelvic	right	2.330078
BMNH_1953.12.1.18	pelvic	left	LACM_72455	pelvic	left	1.700590
BMNH_1953.12.1.18	pelvic	left	LACM_72455	pelvic	right	1.640135
BMNH_1953.12.1.18	pelvic	left	LACM_72546	pelvic	left	2.661568
BMNH_1953.12.1.18	pelvic	left	LACM_72546	pelvic	right	2.272902
BMNH_1953.12.1.18	pelvic	left	LACM_72591	pelvic	left	2.882508
BMNH_1953.12.1.18	pelvic	left	LACM_72591	pelvic	right	2.529456
BMNH_1953.12.1.18	pelvic	left	LACM_84047	pelvic	left	2.411248
BMNH_1953.12.1.18	pelvic	left	LACM_84047	pelvic	right	2.535908
BMNH_1953.12.1.18	pelvic	left	LACM_84048	pelvic	left	3.324478
BMNH_1953.12.1.18	pelvic	left	LACM_84048	pelvic	right	3.565820
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP10	pelvic	right	2.191442
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP1	pelvic	right	2.154903
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP2	pelvic	right	2.198435
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP3	pelvic	right	2.162030
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP4	pelvic	right	2.139318
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP5	pelvic	right	2.184239
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP6	pelvic	right	2.195363
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP7	pelvic	right	2.138676
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP8	pelvic	right	2.230164
BMNH_1953.12.1.18	pelvic	left	LACM_84071REP9	pelvic	right	2.224081
BMNH_1953.12.1.18	pelvic	left	LACM_84071	pelvic	left	2.228529
BMNH_1953.12.1.18	pelvic	left	LACM_84071	pelvic	right	2.235247
BMNH_1953.12.1.18	pelvic	left	LACM_84072REP2	pelvic	left	2.284316
BMNH_1953.12.1.18	pelvic	left	LACM_84072REP2	pelvic	right	2.694182
BMNH_1953.12.1.18	pelvic	left	LACM_84072	pelvic	left	2.370699
BMNH_1953.12.1.18	pelvic	left	LACM_84072	pelvic	right	2.663929
BMNH_1953.12.1.18	pelvic	left	LACM_84073	pelvic	left	2.594060
BMNH_1953.12.1.18	pelvic	left	LACM_84073	pelvic	right	2.728206
BMNH_1953.12.1.18	pelvic	left	LACM_84076	pelvic	left	2.421242
BMNH_1953.12.1.18	pelvic	left	LACM_84076	pelvic	right	2.240933
BMNH_1953.12.1.18	pelvic	left	LACM_84086	pelvic	left	1.899521
BMNH_1953.12.1.18	pelvic	left	LACM_84086	pelvic	right	2.023431
BMNH_1953.12.1.18	pelvic	left	LACM_84127	pelvic	left	2.267729
BMNH_1953.12.1.18	pelvic	left	LACM_84127	pelvic	right	2.362289
BMNH_1953.12.1.18	pelvic	left	LACM_84163	pelvic	left	2.530959
BMNH_1953.12.1.18	pelvic	left	LACM_84163	pelvic	right	2.509558
BMNH_1953.12.1.18	pelvic	left	LACM_84185	pelvic	left	2.102594
BMNH_1953.12.1.18	pelvic	left	LACM_84185	pelvic	right	2.449509
BMNH_1953.12.1.18	pelvic	left	LACM_84194	pelvic	left	1.939531
BMNH_1953.12.1.18	pelvic	left	LACM_84194	pelvic	right	1.846895
BMNH_1953.12.1.18	pelvic	left	LACM_84220	pelvic	left	2.154857
BMNH_1953.12.1.18	pelvic	left	LACM_84220	pelvic	right	2.133143
BMNH_1953.12.1.18	pelvic	left	LACM_84221	pelvic	left	1.837659
BMNH_1953.12.1.18	pelvic	left	LACM_84221	pelvic	right	1.961830
BMNH_1953.12.1.18	pelvic	left	LACM_84233	pelvic	left	1.850797
BMNH_1953.12.1.18	pelvic	left	LACM_84233	pelvic	right	1.884457
BMNH_1953.12.1.18	pelvic	left	LACM_84236	pelvic	left	1.832035
BMNH_1953.12.1.18	pelvic	left	LACM_84236	pelvic	right	1.945004
BMNH_1953.12.1.18	pelvic	left	LACM_84239	pelvic	left	2.269466
BMNH_1953.12.1.18	pelvic	left	LACM_84239	pelvic	right	2.150458
BMNH_1953.12.1.18	pelvic	left	LACM_84240	pelvic	left	2.262686
BMNH_1953.12.1.18	pelvic	left	LACM_84240	pelvic	right	1.938075
BMNH_1953.12.1.18	pelvic	left	LACM_84241	pelvic	left	2.054866
BMNH_1953.12.1.18	pelvic	left	LACM_84241	pelvic	right	1.964211
BMNH_1953.12.1.18	pelvic	left	LACM_84251REP2	pelvic	left	2.493150
BMNH_1953.12.1.18	pelvic	left	LACM_84251REP2	pelvic	right	2.498273
BMNH_1953.12.1.18	pelvic	left	LACM_84251	pelvic	left	2.520119
BMNH_1953.12.1.18	pelvic	left	LACM_84251	pelvic	right	2.549114
BMNH_1953.12.1.18	pelvic	left	LACM_84252REP2	pelvic	left	1.988680
BMNH_1953.12.1.18	pelvic	left	LACM_84252REP2	pelvic	right	1.822659
BMNH_1953.12.1.18	pelvic	left	LACM_84252	pelvic	left	1.734547
BMNH_1953.12.1.18	pelvic	left	LACM_84252	pelvic	right	1.821288
BMNH_1953.12.1.18	pelvic	left	LACM_84254REP2	pelvic	left	1.947782
BMNH_1953.12.1.18	pelvic	left	LACM_84254REP2	pelvic	right	1.858715
BMNH_1953.12.1.18	pelvic	left	LACM_84254	pelvic	left	2.027409
BMNH_1953.12.1.18	pelvic	left	LACM_84254	pelvic	right	1.933496
BMNH_1953.12.1.18	pelvic	left	LACM_84267REP2	pelvic	left	2.021711
BMNH_1953.12.1.18	pelvic	left	LACM_84267REP2	pelvic	right	2.182218
BMNH_1953.12.1.18	pelvic	left	LACM_84267	pelvic	left	2.041460
BMNH_1953.12.1.18	pelvic	left	LACM_84267	pelvic	right	2.247515
BMNH_1953.12.1.18	pelvic	left	LACM_84271	pelvic	left	1.858230
BMNH_1953.12.1.18	pelvic	left	LACM_84271	pelvic	right	1.610560
BMNH_1953.12.1.18	pelvic	left	LACM_84284	pelvic	left	2.870152
BMNH_1953.12.1.18	pelvic	left	LACM_84284	pelvic	right	2.869907
BMNH_1953.12.1.18	pelvic	left	LACM_85995	pelvic	left	1.983821
BMNH_1953.12.1.18	pelvic	left	LACM_85995	pelvic	right	1.986331
BMNH_1953.12.1.18	pelvic	left	LACM_86004REP2	pelvic	left	2.071888
BMNH_1953.12.1.18	pelvic	left	LACM_86004REP2	pelvic	right	1.818513
BMNH_1953.12.1.18	pelvic	left	LACM_86004	pelvic	left	1.881612
BMNH_1953.12.1.18	pelvic	left	LACM_86004	pelvic	right	1.856885
BMNH_1953.12.1.18	pelvic	left	LACM_88951REP2	pelvic	left	2.245240
BMNH_1953.12.1.18	pelvic	left	LACM_88951REP2	pelvic	right	2.083764
BMNH_1953.12.1.18	pelvic	left	LACM_88951	pelvic	left	2.289802
BMNH_1953.12.1.18	pelvic	left	LACM_88951	pelvic	right	2.089991
BMNH_1953.12.1.18	pelvic	left	LACM_88979	pelvic	left	2.070706
BMNH_1953.12.1.18	pelvic	left	LACM_88979	pelvic	right	2.064169
BMNH_1953.12.1.18	pelvic	left	LACM_88987REP2	pelvic	left	2.778077
BMNH_1953.12.1.18	pelvic	left	LACM_88987REP2	pelvic	right	2.514534
BMNH_1953.12.1.18	pelvic	left	LACM_88987	pelvic	left	2.949207
BMNH_1953.12.1.18	pelvic	left	LACM_88987	pelvic	right	3.045611
BMNH_1953.12.1.18	pelvic	left	LACM_88999	pelvic	left	1.667518
BMNH_1953.12.1.18	pelvic	left	LACM_88999	pelvic	right	1.875980
BMNH_1953.12.1.18	pelvic	left	LACM_91307	pelvic	left	2.184492
BMNH_1953.12.1.18	pelvic	left	LACM_91307	pelvic	right	1.687632
BMNH_1953.12.1.18	pelvic	left	LACM_91779REP2	pelvic	left	1.562398
BMNH_1953.12.1.18	pelvic	left	LACM_91779REP2	pelvic	right	1.777181
BMNH_1953.12.1.18	pelvic	left	LACM_91779	pelvic	left	1.681776
BMNH_1953.12.1.18	pelvic	left	LACM_91779	pelvic	right	1.876334
BMNH_1953.12.1.18	pelvic	left	LACM_91915	pelvic	left	1.976921
BMNH_1953.12.1.18	pelvic	left	LACM_91915	pelvic	right	1.918301
BMNH_1953.12.1.18	pelvic	left	LACM_92062	pelvic	left	2.576546
BMNH_1953.12.1.18	pelvic	left	LACM_92062	pelvic	right	2.489531
BMNH_1953.12.1.18	pelvic	left	LACM_92071	pelvic	left	2.048512
BMNH_1953.12.1.18	pelvic	left	LACM_92071	pelvic	right	2.035729
BMNH_1953.12.1.18	pelvic	left	LACM_92072	pelvic	left	2.285517
BMNH_1953.12.1.18	pelvic	left	LACM_92072	pelvic	right	2.514809
BMNH_1953.12.1.18	pelvic	left	LACM_92077	pelvic	left	1.992574
BMNH_1953.12.1.18	pelvic	left	LACM_92077	pelvic	right	2.162398
BMNH_1953.12.1.18	pelvic	left	LACM_95489	pelvic	left	1.843246
BMNH_1953.12.1.18	pelvic	left	LACM_95489	pelvic	right	1.772870
BMNH_1953.12.1.18	pelvic	left	LACM_95514	pelvic	left	1.541618
BMNH_1953.12.1.18	pelvic	left	LACM_95514	pelvic	right	1.811622
BMNH_1953.12.1.18	pelvic	left	LACM_95689	pelvic	left	2.314561
BMNH_1953.12.1.18	pelvic	left	LACM_95689	pelvic	right	2.187109
BMNH_1953.12.1.18	pelvic	left	LACM_95828	pelvic	left	1.733906
BMNH_1953.12.1.18	pelvic	left	LACM_95828	pelvic	right	1.901712
BMNH_1953.12.1.18	pelvic	left	LACM_96366	pelvic	left	1.809022
BMNH_1953.12.1.18	pelvic	left	LACM_96366	pelvic	right	2.043786
BMNH_1953.12.1.18	pelvic	left	LACM_96383	pelvic	left	1.939281
BMNH_1953.12.1.18	pelvic	left	LACM_96383	pelvic	right	2.333604
BMNH_1953.12.1.18	pelvic	left	LACM_96487	pelvic	left	3.311615
BMNH_1953.12.1.18	pelvic	left	LACM_97203	pelvic	right	2.244742
BMNH_1953.12.1.18	pelvic	left	LACM_97204	pelvic	left	2.417526
BMNH_1953.12.1.18	pelvic	left	LACM_97204	pelvic	right	2.128335
BMNH_1953.12.1.18	pelvic	left	LACM_97207	pelvic	left	2.195630
BMNH_1953.12.1.18	pelvic	left	LACM_97207	pelvic	right	2.159948
BMNH_1953.12.1.18	pelvic	left	LACM_97405	pelvic	left	1.852546
BMNH_1953.12.1.18	pelvic	left	LACM_97405	pelvic	right	2.163491
BMNH_1953.12.1.18	pelvic	left	LACM_97429	pelvic	left	1.464908
BMNH_1953.12.1.18	pelvic	left	LACM_97429	pelvic	right	1.670133
BMNH_1953.12.1.18	pelvic	left	LACM_97478	pelvic	left	1.599103
BMNH_1953.12.1.18	pelvic	left	LACM_97478	pelvic	right	1.684251
BMNH_1953.12.1.18	pelvic	left	LACM_97489	pelvic	left	1.545307
BMNH_1953.12.1.18	pelvic	left	LACM_97489	pelvic	right	1.781308
BMNH_1953.12.1.18	pelvic	left	MAL_03-282	pelvic	left	1.778271
BMNH_1953.12.1.18	pelvic	left	MAL_03-282	pelvic	right	1.860358
BMNH_1953.12.1.18	pelvic	left	MH_03-621	pelvic	left	1.361427
BMNH_1953.12.1.18	pelvic	left	MH_03-621	pelvic	right	1.667588
BMNH_1953.12.1.18	pelvic	left	MJM_070110	pelvic	left	1.800279
BMNH_1953.12.1.18	pelvic	left	MJM_070110	pelvic	right	1.707555
BMNH_1953.12.1.18	pelvic	left	UMA_4820	pelvic	left	1.821665
BMNH_1953.12.1.18	pelvic	left	UMA_4820	pelvic	right	1.326386
BMNH_1953.12.1.18	pelvic	left	UMA_4920	pelvic	left	1.302955
BMNH_1953.12.1.18	pelvic	left	UMA_4920	pelvic	right	1.488173
BMNH_1953.12.1.18	pelvic	left	USNM_258642	pelvic	left	1.751618
BMNH_1953.12.1.18	pelvic	left	USNM_258642	pelvic	right	1.968212
BMNH_1953.12.1.18	pelvic	left	USNM_395277	pelvic	left	1.773557
BMNH_1953.12.1.18	pelvic	left	USNM_395277	pelvic	right	1.844966
BMNH_1953.12.1.18	pelvic	left	USNM_395390	pelvic	left	2.246232
BMNH_1953.12.1.18	pelvic	left	USNM_395390	pelvic	right	2.322131
BMNH_1953.12.1.18	pelvic	left	USNM_395465	pelvic	left	2.424707
BMNH_1953.12.1.18	pelvic	left	USNM_395465	pelvic	right	2.929531
BMNH_1953.12.1.18	pelvic	left	USNM_395599	pelvic	left	1.774552
BMNH_1953.12.1.18	pelvic	left	USNM_395599	pelvic	right	1.989726
BMNH_1953.12.1.18	pelvic	left	USNM_396165	pelvic	left	2.246770
BMNH_1953.12.1.18	pelvic	left	USNM_396165	pelvic	right	2.162795
BMNH_1953.12.1.18	pelvic	left	USNM_396304	pelvic	left	2.163598
BMNH_1953.12.1.18	pelvic	left	USNM_396304	pelvic	right	2.151714
BMNH_1953.12.1.18	pelvic	left	USNM_484929	pelvic	left	1.763182
BMNH_1953.12.1.18	pelvic	left	USNM_484929	pelvic	right	1.800767
BMNH_1953.12.1.18	pelvic	left	USNM_501157	pelvic	left	2.268798
BMNH_1953.12.1.18	pelvic	left	USNM_501157	pelvic	right	1.939607
BMNH_1953.12.1.18	pelvic	left	USNM_501176	pelvic	left	1.964988
BMNH_1953.12.1.18	pelvic	left	USNM_501176	pelvic	right	1.776512
BMNH_1953.12.1.18	pelvic	left	USNM_501179	pelvic	left	2.819297
BMNH_1953.12.1.18	pelvic	left	USNM_501179	pelvic	right	2.478654
BMNH_1953.12.1.18	pelvic	left	USNM_501183	pelvic	left	1.955864
BMNH_1953.12.1.18	pelvic	left	USNM_501183	pelvic	right	2.350209
BMNH_1953.12.1.18	pelvic	left	USNM_501186	pelvic	left	2.005569
BMNH_1953.12.1.18	pelvic	left	USNM_501186	pelvic	right	1.819541
BMNH_1953.12.1.18	pelvic	left	USNM_504107	pelvic	left	2.723334
BMNH_1953.12.1.18	pelvic	left	USNM_504107	pelvic	right	2.643947
BMNH_1953.12.1.18	pelvic	left	USNM_504126	pelvic	left	2.248007
BMNH_1953.12.1.18	pelvic	left	USNM_504126	pelvic	right	2.510134
BMNH_1953.12.1.18	pelvic	left	USNM_504128	pelvic	left	2.396427
BMNH_1953.12.1.18	pelvic	left	USNM_504128	pelvic	right	2.871302
BMNH_1953.12.1.18	pelvic	left	USNM_504154	pelvic	left	1.695456
BMNH_1953.12.1.18	pelvic	left	USNM_504154	pelvic	right	1.688778
BMNH_1953.12.1.18	pelvic	left	USNM_504302	pelvic	left	2.278426
BMNH_1953.12.1.18	pelvic	left	USNM_504302	pelvic	right	2.392274
BMNH_1953.12.1.18	pelvic	left	USNM_504350	pelvic	left	1.927978
BMNH_1953.12.1.18	pelvic	left	USNM_504350	pelvic	right	1.942907
BMNH_1953.12.1.18	pelvic	left	USNM_504467	pelvic	left	2.374069
BMNH_1953.12.1.18	pelvic	left	USNM_504467	pelvic	right	2.429696
BMNH_1953.12.1.18	pelvic	left	USNM_504468	pelvic	left	2.254138
BMNH_1953.12.1.18	pelvic	left	USNM_504468	pelvic	right	2.336380
BMNH_1953.12.1.18	pelvic	left	USNM_504494	pelvic	left	2.388117
BMNH_1953.12.1.18	pelvic	left	USNM_504494	pelvic	right	2.080596
BMNH_1953.12.1.18	pelvic	left	USNM_504726	pelvic	left	1.676643
BMNH_1953.12.1.18	pelvic	left	USNM_504726	pelvic	right	1.795199
BMNH_1953.12.1.18	pelvic	left	USNM_504758	pelvic	left	1.995834
BMNH_1953.12.1.18	pelvic	left	USNM_504758	pelvic	right	2.049069
BMNH_1953.12.1.18	pelvic	left	USNM_504773	pelvic	left	1.931488
BMNH_1953.12.1.18	pelvic	left	USNM_504773	pelvic	right	1.970945
BMNH_1953.12.1.18	pelvic	left	USNM_504879	pelvic	left	2.231815
BMNH_1953.12.1.18	pelvic	left	USNM_504879	pelvic	right	2.407634
BMNH_1953.12.1.18	pelvic	left	USNM_504920	pelvic	left	3.053884
