species	specimen	bodylength	sex	bone	side	absolute_centroid_size
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	pelvic	left	2299.763523
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	pelvic	right	2246.095311
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	rib	left	NA
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	rib	right	NA
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	pelvic	left	1898.309229
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	pelvic	right	1868.040183
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	rib	left	NA
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	rib	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	pelvic	left	3862.824694
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	pelvic	right	3771.167531
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	rib	left	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	rib	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	pelvic	left	3765.025422
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	pelvic	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	rib	left	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	rib	right	NA
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	pelvic	left	2376.695167
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	pelvic	right	2405.170376
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	rib	left	NA
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	rib	right	NA
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	pelvic	left	860.006746
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	pelvic	right	858.653687
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	rib	left	1221.339359
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	rib	right	1264.744717
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	pelvic	left	736.661091
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	pelvic	right	737.611490
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	rib	left	1222.204409
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	rib	right	1243.293502
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	pelvic	left	796.725863
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	pelvic	right	808.016021
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	rib	left	1473.661266
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	rib	right	1458.876606
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	pelvic	left	907.740080
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	pelvic	right	898.676239
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	rib	left	1276.743226
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	rib	right	1345.989055
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	pelvic	left	851.575914
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	pelvic	right	870.653410
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	rib	left	1360.988647
DELPHINUS_CAPENSIS	LACM_84220	212.0	M	rib	right	1347.515743
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	pelvic	left	853.086027
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	pelvic	right	840.848245
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	rib	left	1418.831701
DELPHINUS_CAPENSIS	LACM_84221	218.5	M	rib	right	1442.367770
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	pelvic	left	963.609989
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	pelvic	right	943.697439
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	rib	left	1280.394064
DELPHINUS_CAPENSIS	LACM_84233	223.5	M	rib	right	1302.558771
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	pelvic	left	677.071125
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	pelvic	right	695.399895
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	rib	left	1210.274926
DELPHINUS_CAPENSIS	LACM_84236	208.0	F	rib	right	1227.146412
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	pelvic	left	670.461314
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	pelvic	right	657.640989
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	rib	left	1356.737054
DELPHINUS_CAPENSIS	LACM_84239	208.5	M	rib	right	1357.912578
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	pelvic	left	884.631516
