species	specimen	bodylength	sex	bone	side	absolute_centroid_size
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	p	l	3862.824694
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	p	r	3771.167531
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	r	l	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	r	r	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	p	l	3765.025422
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	p	r	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	r	l	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	r	r	NA
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	p	l	1306.352197
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	p	r	1175.804447
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	r	l	NA
GLOBICEPHALA_MELAS	CCSN_04-141	460	F	r	r	NA
INIA_GEOFFRENSIS	LACM_19590	240	M	p	l	988.532133
INIA_GEOFFRENSIS	LACM_19590	240	M	p	r	1013.880159
INIA_GEOFFRENSIS	LACM_19590	240	M	r	l	1462.380616
INIA_GEOFFRENSIS	LACM_19590	240	M	r	r	1492.995719
INIA_GEOFFRENSIS	LACM_27074	228.0	M	p	l	940.695275
INIA_GEOFFRENSIS	LACM_27074	228.0	M	p	r	897.976635
INIA_GEOFFRENSIS	LACM_27074	228.0	M	r	l	1567.935928
INIA_GEOFFRENSIS	LACM_27074	228.0	M	r	r	1641.440552
BALAENOPTERA_PHYSALUS	LACM_31144	2135	U	p	l	3648.448150
BALAENOPTERA_PHYSALUS	LACM_31144	2135	U	p	r	3649.264371
BALAENOPTERA_PHYSALUS	LACM_31144	2135	U	r	l	NA
BALAENOPTERA_PHYSALUS	LACM_31144	2135	U	r	r	NA
PONTOPORIA_BLAINVILLEI	LACM_47143	128.5	M	p	l	301.962474
PONTOPORIA_BLAINVILLEI	LACM_47143	128.5	M	p	r	297.525415
PONTOPORIA_BLAINVILLEI	LACM_47143	128.5	M	r	l	774.458488
PONTOPORIA_BLAINVILLEI	LACM_47143	128.5	M	r	r	803.628514
PONTOPORIA_BLAINVILLEI	LACM_54012	138.0	F	p	l	396.551811
PONTOPORIA_BLAINVILLEI	LACM_54012	138.0	F	p	r	364.743965
PONTOPORIA_BLAINVILLEI	LACM_54012	138.0	F	r	l	848.700079
PONTOPORIA_BLAINVILLEI	LACM_54012	138.0	F	r	r	860.999796
STENELLA_ATTENUATA	LACM_54043	195.0	M	p	l	651.180353
STENELLA_ATTENUATA	LACM_54043	195.0	M	p	r	628.364220
STENELLA_ATTENUATA	LACM_54043	195.0	M	r	l	1144.135007
STENELLA_ATTENUATA	LACM_54043	195.0	M	r	r	1155.214133
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	p	l	1008.084006
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	p	r	974.608513
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	r	l	1611.379876
PEPONOCEPHALA_ELECTRA	LACM_54090	231.0	F	r	r	1635.850800
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	p	l	793.836511
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	p	r	846.745543
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	r	l	1679.638349
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	r	r	1600.186786
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	p	l	690.322902
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	p	r	695.731934
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	r	l	1748.332096
PHOCOENOIDES_DALLI	LACM_54569	200.0	F	r	r	1747.249870
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	p	l	541.179892
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	p	r	579.843017
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	r	l	1009.149764
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	r	r	975.857484
STENELLA_LONGIROSTRIS	LACM_72438	177.5	M	p	l	651.723218
STENELLA_LONGIROSTRIS	LACM_72438	177.5	M	p	r	663.985755
STENELLA_LONGIROSTRIS	LACM_72438	177.5	M	r	l	1179.813695
STENELLA_LONGIROSTRIS	LACM_72438	177.5	M	r	r	1198.304079
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	p	l	999.800679
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	p	r	1010.622756
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	r	l	1343.243822
LISSODELPHIS_BOREALIS	LACM_72455	264.4	M	r	r	1358.490288
GRAMPUS_GRISEUS	LACM_72546	360.7	M	p	l	1208.709102
GRAMPUS_GRISEUS	LACM_72546	360.7	M	p	r	1192.661964
GRAMPUS_GRISEUS	LACM_72546	360.7	M	r	l	2347.169447
GRAMPUS_GRISEUS	LACM_72546	360.7	M	r	r	2380.048603
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	p	l	1063.096717
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	p	r	1058.269489
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	r	l	NA
PHOCOENA_PHOCOENA	LACM_72591	148.0	M	r	r	NA
PSEUDORCA_CRASSIDENS	LACM_84047	480.0	M	p	l	1379.074704
PSEUDORCA_CRASSIDENS	LACM_84047	480.0	M	p	r	1362.427698
PSEUDORCA_CRASSIDENS	LACM_84047	480.0	M	r	l	2352.031622
PSEUDORCA_CRASSIDENS	LACM_84047	480.0	M	r	r	2415.837400
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	p	l	589.983084
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	p	r	575.098760
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	r	l	1568.322714
PHOCOENOIDES_DALLI	LACM_84048	213.0	M	r	r	1510.067436
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	p	l	860.006746
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	p	r	858.653687
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	r	l	1221.339359
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	r	r	1264.744717
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	p	l	1018.147149
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	p	r	995.424826
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	r	l	1491.813663
PHOCOENA_PHOCOENA	LACM_84072	154.0	M	r	r	1475.346879
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	p	l	829.495485
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	p	r	872.353828
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	r	l	1403.785552
PHOCOENA_PHOCOENA	LACM_84073	173.0	F	r	r	1413.982525
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	p	l	945.265901
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	p	r	997.745807
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	r	l	1409.796677
PHOCOENA_PHOCOENA	LACM_84076	178.0	F	r	r	1415.641848
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	p	l	880.523110
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	p	r	876.979108
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	r	l	1319.045546
PHOCOENA_PHOCOENA	LACM_84086	164.5	F	r	r	1317.450807
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	p	l	736.661091
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	p	r	737.611490
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	r	l	1222.204409
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	r	r	1243.293502
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	p	l	796.725863
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	p	r	808.016021
