species	specimen	bodylength	sex	bone	side	absolute_volume	centroid
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	pelvic	left	6227.26	793.836511
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	pelvic	right	6640.69	846.745543
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	rib	left	25711.31	1679.638349
PHOCOENOIDES_DALLI	LACM_54420	203.0	M	rib	right	23581.56	1600.186786
STENELLA_ATTENUATA	LACM_54043	195.0	M	pelvic	left	3154.54	651.180353
STENELLA_ATTENUATA	LACM_54043	195.0	M	pelvic	right	2981.79	628.364220
STENELLA_ATTENUATA	LACM_54043	195.0	M	rib	left	12915.95	1144.135007
STENELLA_ATTENUATA	LACM_54043	195.0	M	rib	right	12484.67	1155.214133
STENELLA_ATTENUATA	LACM_95489	191.9	F	pelvic	left	2427.39	572.831757
STENELLA_ATTENUATA	LACM_95489	191.9	F	pelvic	right	2417.36	545.585585
STENELLA_ATTENUATA	LACM_95489	191.9	F	rib	left	NA	NA
STENELLA_ATTENUATA	LACM_95489	191.9	F	rib	right	NA	NA
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	pelvic	left	2207.30	541.179892
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	pelvic	right	2400.99	579.843017
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	rib	left	9431.72	1009.149764
STENELLA_LONGIROSTRIS	LACM_72437	175.4	M	rib	right	8849.41	975.857484
