species,specimen,sex,body_length,pelvic_left,pelvic_right,rib_left,rib_right
BALAENOPTERA_ACUTOROSTRATA,MAL_03-282,F,730,2299.8,2246.1,NA,NA
BALAENOPTERA_ACUTOROSTRATA,MH_03-621,M,700,1898.3,1868,NA,NA
BALAENOPTERA_MUSCULUS,BMNH_1953.12.1.18,F,2350,3862.8,3771.2,NA,NA
BALAENOPTERA_MUSCULUS,BMNH_1953.12.1.19,M,2360,3765,NA,NA,NA
BALAENOPTERA_PHYSALUS,UMA_4820,F,2075,2376.7,2405.2,NA,NA
DELPHINUS_CAPENSIS,LACM_84071,M,209,860,858.7,1221.3,1264.7
DELPHINUS_CAPENSIS,LACM_84127,M,215,736.7,737.6,1222.2,1243.3
DELPHINUS_CAPENSIS,LACM_84163,M,226,796.7,808,1473.7,1458.9
DELPHINUS_CAPENSIS,LACM_84185,M,211.5,907.7,898.7,1276.7,1346
DELPHINUS_CAPENSIS,LACM_84220,M,212,851.6,870.7,1361,1347.5
DELPHINUS_CAPENSIS,LACM_84221,M,218.5,853.1,840.8,1418.8,1442.4
DELPHINUS_CAPENSIS,LACM_84233,M,223.5,963.6,943.7,1280.4,1302.6
DELPHINUS_CAPENSIS,LACM_84236,F,208,677.1,695.4,1210.3,1227.1
DELPHINUS_CAPENSIS,LACM_84239,M,208.5,670.5,657.6,1356.7,1357.9
DELPHINUS_CAPENSIS,LACM_84240,M,235,884.6,868.9,1420.8,1429.1
DELPHINUS_CAPENSIS,LACM_84241,M,232.9,892.4,937.8,NA,NA
DELPHINUS_CAPENSIS,LACM_85995,M,210,896.8,894.2,1463.8,1429
DELPHINUS_CAPENSIS,LACM_86004,M,233,853.4,892.7,1454.6,1450.5
DELPHINUS_CAPENSIS,LACM_88979,M,211.5,902.6,903.3,1293.9,1297.8
DELPHINUS_CAPENSIS,LACM_88999,M,214,730.3,735.1,NA,NA
DELPHINUS_CAPENSIS,LACM_91307,F,207,915.7,906.7,1270,1271.4
DELPHINUS_CAPENSIS,LACM_91779,M,234,854.5,860.3,1306.3,1289.7
DELPHINUS_CAPENSIS,LACM_91915,M,222,895.8,928.2,1345.6,1360.4
DELPHINUS_CAPENSIS,LACM_92071,M,227,939.3,947.4,1454,1518.5
DELPHINUS_CAPENSIS,LACM_92077,M,222.5,987.2,1021.4,1342.3,1433.3
DELPHINUS_CAPENSIS,LACM_95668,M,218,NA,NA,1271.4,1241.8
DELPHINUS_CAPENSIS,LACM_96366,M,217.5,860.1,825.2,1382.1,1351.8
DELPHINUS_CAPENSIS,LACM_97203,M,219,NA,653.3,NA,NA
DELPHINUS_CAPENSIS,LACM_97204,M,224,807.2,838.9,NA,NA
DELPHINUS_CAPENSIS,LACM_97429,M,232,987.3,956.3,1477.3,1506.3
DELPHINUS_CAPENSIS,LACM_97478,M,212,851.8,855.3,1460.5,1455.7
DELPHINUS_DELPHIS,LACM_84254,M,229,938.2,915.4,1395.5,1391.7
DELPHINUS_DELPHIS,USNM_504107,M,209,989.3,996.2,1379.4,706.2
DELPHINUS_DELPHIS,USNM_572632,M,223,870.3,852.7,NA,1357.1
DELPHINUS_DELPHIS,USNM_572775,M,203,1097.2,1097.6,1361.3,1434.8
DELPHINUS_DELPHIS,USNM_572776,M,228,983.2,991.2,1388.7,1388.4
DELPHINUS_DELPHIS,USNM_572777,M,216,922.4,924.3,1305.4,1426.2
DELPHINUS_DELPHIS,USNM_572859,F,207,820.8,839.3,1357.6,1347
DELPHINUS_DELPHIS,USNM_572871,M,229,NA,1051,1311.3,1283.7
DELPHINUS_DELPHIS,USNM_572980,M,225,1028.1,1016.2,1449.1,1387.5
ESCHRICHTIUS_ROBUSTUS,UWBM_35430,M,1293,4557,NA,NA,NA
EUBALAENA_GLACIALIS,MJM_070110,M,1370,4305.6,4471.8,NA,NA
EUBALAENA_GLACIALIS,UMA_4920,F,1370,3432.7,3395.9,NA,NA
FERESA_ATTENUATA,LACM_84252,M,214,1082.9,1090.3,1334.6,1345.3
FERESA_ATTENUATA,USNM_550389,M,212,1049.2,1049.8,NA,1351.9
FERESA_ATTENUATA,USNM_571268,M,230,993.6,1001.5,1517.2,1522.4
GLOBICEPHALA_MELAS,CCSN_04-141,F,460,1306.4,1175.8,NA,NA
GRAMPUS_GRISEUS,LACM_72546,M,360.7,1208.7,1192.7,2347.2,2380
GRAMPUS_GRISEUS,USNM_504126,M,298,1125.2,1107.5,1976.2,2007.2
GRAMPUS_GRISEUS,USNM_550391,M,286,988.5,1020.2,1926.1,1922.7
INIA_GEOFFRENSIS,LACM_19590,M,240,988.5,1013.9,1462.4,1493
INIA_GEOFFRENSIS,LACM_27074,M,228,940.7,898,1567.9,1641.4
